ID,Sex,Partic #,,DOB,Test Date,Baby Age,Exp,CDI SCORE,#hab,ttl hab,,pretest,1st_hab,2nd_hab,3rd_hab,3rd_to_last_hab,2nd_to_last_hab,last_hab,,Decrement,,blue-neem,black-neem,black-blue-that,blue-black-that,Posttest,Test Order,check,Note
1,F,3,,9/21/18,9/9/19,"0 years,11 months,19 days",RS,5,9,185.2,,28,29.9,18.6,29.9,13.9,14.4,6.9,,0.448979592,,7.4,22,13.8,5.4,24.2,5678,dp - 10-29-19,
2,M,1,,8/2/18,7/30/19,"0 years,11 months,28 days",AC,1,10,166.8,,29.5,28.1,13.9,20.9,11.6,14,3.2,,0.457869634,,29.9,27.6,21,6.8,8.5,6578,ac/8-5-19,
3,F,7,,10/7/18,9/28/19,"0 years,11 months,21 days",AC,4,8,161.6,,7.7,29.9,29.9,19.6,25,3.2,4,,0.405541562,,25,9.6,29.9,28.5,,5687,dp - 10-29-19,
5,F,9,,10/6/18,10/19/19,"1 years,0 months,13 days",AC,2,6,119.6,,29.7,29.9,29.9,29.9,18.6,5.8,5.5,,0.333333333,,17.8,7.4,12.8,13.7,1.8,5678,dp - 10-29-19,
6,M,5,,9/12/18,9/23/19,"1 years,0 months,11 days",KB,4,7,117.2,,14.1,21.3,15.7,29.9,5.4,12,11.8,,0.436472347,,11.4,7.9,5.5,4.4,29.7,6578,,
7,F,12,,12/1/18,12/6/19,"1 years,0 months,5 days",AC,1,6,51.4,,7.6,13.1,6.1,18.8,5.3,2.1,5.9,,0.35,,11.2,3.2,13.7,7.4,8.3,5687,,
8,M,6,,9/27/18,9/26/19,"0 years,11 months,30 days",MM,2,16,399.3,,29.6,29.9,29.9,29.9,29.9,6.8,28.1,,0.722408027,,27.9,10.7,29.9,1.4,24.4,6587,dp - 10-29-19,
9,M,8,,10/7/18,10/2/19,"0 years,11 months,25 days",KB,3,6,96.1,,29.7,29.9,26.2,11.7,18.8,4.2,5.4,,0.418879056,,7.9,19.2,21.5,15.6,20.5,5678,,
11,M,10,,10/11/18,10/23/19,"1 years,0 months,12 days",KB,6,10,188,,17.7,29.9,29.8,21,8.9,6.5,8.9,,0.301115242,,14.4,1.9,13.2,28.3,21.5,5687,dp - 10-29-19,"had ear infections, discard?"
13,M,11,,10/29/18,11/9/19,"1 years,0 months,11 days",AC,5,9,152.4,,23.1,25.8,20.5,19.4,11.6,6.4,5.4,,,,6.4,25.2,5.8,25.5,25.3,5678,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
